roadLabel,countryLabel,length
Tripoli–Cape Town Highway,South Africa,10808
Tripoli–Cape Town Highway,Chad,10808
Tripoli–Cape Town Highway,Angola,10808
Tripoli–Cape Town Highway,Central African Republic,10808
Tripoli–Cape Town Highway,Republic of the Congo,10808
Tripoli–Cape Town Highway,Democratic Republic of the Congo,10808
Tripoli–Cape Town Highway,Cameroon,10808
Tripoli–Cape Town Highway,Libya,10808
Tripoli–Cape Town Highway,Namibia,10808
Cape to Cairo Road,Egypt,10228
Cape to Cairo Road,Kenya,10228
Cape to Cairo Road,Ethiopia,10228
Cape to Cairo Road,South Africa,10228
Cape to Cairo Road,Tanzania,10228
Cape to Cairo Road,Zambia,10228
Cape to Cairo Road,Zimbabwe,10228
Cape to Cairo Road,Botswana,10228
Cape to Cairo Road,Sudan,10228
Beira–Lobito Highway,Angola,3523
Beira–Lobito Highway,Zambia,3523
Beira–Lobito Highway,Zimbabwe,3523
Beira–Lobito Highway,Democratic Republic of the Congo,3523
Beira–Lobito Highway,Mozambique,3523
National Road 1,Democratic Republic of the Congo,2746
N2 road,South Africa,2269
N1 road,South Africa,1940
Via Balbia,Libya,1822
National Road 2,Democratic Republic of the Congo,1758
N1 road,Guinea,1729
Route nationale 1,Cameroon,1588
B1 road,Namibia,1467
N12 road,South Africa,1353
N14 road,South Africa,1195
National Road 5,Democratic Republic of the Congo,1102
A2 Highway,Italian East Africa,1071
A2 Highway,Ethiopia,1071
N10 road,South Africa,1048
National Road 39,Democratic Republic of the Congo,1043
Highway of the Hauts Plateaux,Algeria,1020
R34 road,South Africa,977
B8 road,Namibia,933
Route nationale 7,Madagascar,920
N3 road,Guinea,917
N5 road,Guinea,917
National Road 8,Democratic Republic of the Congo,831
A3 road,Botswana,816
Route nationale 6,Cameroon,802
R33 road,South Africa,798
N11 road,South Africa,767
RNIE 2,Benin,729
N4 road,South Africa,718
Route nationale 6,Madagascar,713
National route 1,Mali,708
N8 road,South Africa,700
N7 road,South Africa,666
R31 road,South Africa,641
N1 road,Togo,624
National route 6,Mali,612
C35 road (Namibia),Namibia,606
National Road 20,Democratic Republic of the Congo,602
route nationale 1,Republic of the Congo,601
National Road 33,Democratic Republic of the Congo,589
National Road 31,Democratic Republic of the Congo,589
Lamu–Garissa–Isiolo Road,Kenya,580
N3 road,South Africa,579
R103 road,South Africa,576
R56 road,South Africa,576
National route 15,Mali,564
Route nationale 4,Madagascar,562
Route nationale 19,Madagascar,547
N6 road,South Africa,545
N9 road,South Africa,532
Route nationale 10,Cameroon,525
National Road 25,Democratic Republic of the Congo,521
Route nationale 13,Madagascar,493
A109 road,Kenya,482
National Road 24,Democratic Republic of the Congo,481
Route nationale 1b,Madagascar,474
A30 road,Botswana,470
C43 road (Namibia),Namibia,470
National route 7,Mali,469
Route nationale 35,Madagascar,460
C39 road,Namibia,460
RNIE 3,Benin,456
C14 road,Namibia,451
National Road 16,Democratic Republic of the Congo,441
B10 road,Namibia,439
Route nationale 9,Cameroon,425
R59 road,South Africa,421
Route nationale 10,Madagascar,420
C15 road,Namibia,419
Route nationale 5a,Madagascar,414
Route nationale 5,Madagascar,402
N2,Ghana,397.68
N6 road,Guinea,397
Route nationale 3,Cameroon,397
Route nationale 15,Cameroon,391
B14 road,Namibia,389
C34 road,Namibia,386
National Road 17,Democratic Republic of the Congo,372
National Road 19,Democratic Republic of the Congo,372
R58 road,South Africa,370
Route nationale 34,Madagascar,368
Route nationale 2,Madagascar,367
A33 road,Botswana,363
N10 road,Burkina Faso,360
N11 road,Burkina Faso,360
route nationale 23,Burkina Faso,360
N1 road,Burkina Faso,355
National route 19,Mali,354
Route nationale 9,Madagascar,350
C38 road,Namibia,350
Route nationale 2,Madagascar,349
C20 road,Namibia,341
Route nationale 33,Madagascar,340
N17 road,South Africa,338
C19 road,Namibia,337
R555 road,South Africa,336
N1,Ghana,335.54
B4 road,Namibia,334
R510 road,South Africa,332
Route nationale 11,Cameroon,324
C11 road,Namibia,323
C22 road,Namibia,323
National route 20,Mali,322
C44 road,Namibia,320
B2 road,Namibia,320
C30 road,Namibia,320
N18 road,South Africa,318
B6 road,Namibia,318
R104 road,South Africa,317
C28 road,Namibia,316
R40 road,South Africa,310
N15 road,Burkina Faso,310
Fes–Oujda expressway,Morocco,306
Route nationale 12,Madagascar,302
R38 road,South Africa,300
A35 road,Botswana,296
National Road 26,Democratic Republic of the Congo,296
Nairobi–Mombasa Expressway,Kenya,294
B8 road,Kenya,288
Malindi–Bagamoyo Highway,Kenya,286
Malindi–Bagamoyo Highway,Tanzania,286
C13 road,Namibia,286
N22 road,Burkina Faso,280
Garowe–Bosaso Highway,Somalia,279.1
