cityLabel,countryLabel,population
Lagos,Nigeria,15070000
Giza,Egypt,5598402
Khartoum,Sudan,5345000
Abidjan,Ivory Coast,4980000
Alexandria,Egypt,4870000
Dar es Salaam,Tanzania,4715000
Johannesburg,South Africa,4434827
Kano,Nigeria,4348000
Bamako,Mali,4227569
Kano,Nigeria,3999000
Kano,Nigeria,3848885
City of Cape Town,South Africa,3740026
Casablanca,Morocco,3499000
Casablanca,Morocco,3215935
Mbuji-Mayi,Democratic Republic of the Congo,2892000
Omdurman,Sudan,2805396
Kano,Nigeria,2602000
Ibadan,Nigeria,2550593
Luanda,Angola,2487444
Lusaka,Zambia,2467563
Yaoundé,Cameroon,2440462
Algiers,Algeria,2364230
Tamale,Ghana,2310939
Accra,Ghana,2291352
Mbuji-Mayi,Democratic Republic of the Congo,2201000
Lomé,Togo,2188376
Harare,Zimbabwe,2150000
Brazzaville,Republic of the Congo,2145783
Mogadishu,Somalia,2120000
Kano,Nigeria,2095000
Kumasi,Ghana,2069350
Kananga,Democratic Republic of the Congo,1971704
Accra,Ghana,1782150
Benin City,Nigeria,1780000
Garoua,Cameroon,1750000
Abuja,Nigeria,1693400
Mbuji-Mayi,Democratic Republic of the Congo,1680991
Kampala,Uganda,1680600
Accra,Ghana,1668000
Conakry,Guinea,1667864
Masvingo,Zimbabwe,1638528
Mbuji-Mayi,Democratic Republic of the Congo,1559073
New Cairo,Egypt,1500000
Niamey,Niger,1496260
Onitsha,Nigeria,1483000
Pointe-Noire,Republic of the Congo,1420612
Kisangani,Democratic Republic of the Congo,1366000
Tripoli,Libya,1293016
Cacuaco,Angola,1279488
Tangier,Morocco,1275428
Soweto,South Africa,1271628
Mbuji-Mayi,Democratic Republic of the Congo,1213726
Mombasa,Kenya,1208333
Mombasa,Kenya,1200000
Mbuji-Mayi,Democratic Republic of the Congo,1193891
Accra,Ghana,1170000
Aba,Nigeria,1160000
Maputo,Mozambique,1133200
Fez,Morocco,1112072
N'Djamena,Chad,1092066
Nouakchott,Mauritania,1077169
Matola,Mozambique,1032197
Shobra Elkhema,Egypt,1025569
Monrovia,Liberia,1021762
Tshikapa,Democratic Republic of the Congo,1006387
Marrakesh,Morocco,1002697
Lilongwe,Malawi,989318
Marrakesh,Morocco,966987
Asmara,Eritrea,963000
Freetown,Sierra Leone,951000
Jerusalem,Mamluk Sultanate,936425
Jerusalem,Byzantine Empire,936425
Jerusalem,Ottoman Empire,936425
Khartoum North,Sudan,936349
Kisangani,Democratic Republic of the Congo,935977
Mallawi,Egypt,927386
Owerri,Nigeria,908109
Bobo-Dioulasso,Burkina Faso,903887
Lubango,Angola,903564
Bangui,Central African Republic,889231
Abeokuta,Nigeria,888924
Ikeja,Nigeria,861300
Akure,Nigeria,847903
Ilorin,Nigeria,847582
Huambo,Angola,844000
Lomé,Togo,837437
Oran,Algeria,803329
Blantyre,Malawi,800264
Goma Nord Kivu,Democratic Republic of the Congo,781875
Lubango,Angola,776249
Mbuji-Mayi,Democratic Republic of the Congo,766684
Kaduna,Nigeria,760084
Nampula,Mozambique,743000
Cabinda,Angola,739182
Osogbo,Nigeria,731000
Tamale,Ghana,729768
Zanzibar City,Tanzania,709809
Mwanza,Tanzania,706453
Tamale,Ghana,701000
Bauchi,Nigeria,693700
Cotonou,Benin,679012
Bulawayo,Zimbabwe,665940
Huambo,Angola,665564
Jalingo,Nigeria,660213
Bujumbura,Burundi,658859
Benghazi,Libya,631555
Kitwe,Zambia,625000
Mansoura,Egypt,621953
Helwan,Egypt,619293
Oujda,Morocco,614000
Malanje,Angola,604215
Djibouti,Djibouti,603900
Meknes,Morocco,601000
Durban,South Africa,595061
El Mahalla El Kubra,Egypt,592573
Mbale,Uganda,586300
Lomé,Togo,573000
Rabat,Morocco,572717
Dar El Salam,Egypt,567517
Benguela,Angola,561775
Agadir,Morocco,538000
Durban,South Africa,536644
Kassala,Sudan,536009
Beira,Mozambique,530604
Touba,Senegal,529176
Ndola,Zambia,528330
Port Said,Egypt,524433
Meknes,Morocco,520428
Faiyum,Egypt,519047
Suez,Egypt,516959
Kenitra,Morocco,507736
Ile Ife,Nigeria,501952
10th of Ramadan City,Egypt,500000
Belas,Angola,500000
Nyala,Sudan,492984
Bissau,Guinea-Bissau,492004
Accra,Ghana,491817
Mbuji-Mayi,Democratic Republic of the Congo,486235
Bafoussam,Cameroon,480000
East London,South Africa,478676
Tamale,Ghana,466723
Constantine,Algeria,465138
Juba,South Sudan,459342
Lomé,Togo,450000
Constantine,Algeria,448374
Ado Ekiti,Nigeria,446749
Korhogo,Ivory Coast,440926
Lobito,Angola,436467
Windhoek,Namibia,431000
