cityLabel,year,population
Alexandria,1986-11-17T00:00:00Z,2926859
Alexandria,1996-11-19T00:00:00Z,3297959
Alexandria,2006-11-11T00:00:00Z,4028028
Alexandria,2012-01-01T00:00:00Z,4532174
Alexandria,2013-01-01T00:00:00Z,4546231
Alexandria,2016-01-01T00:00:00Z,4870000
Alexandria,2017-07-01T00:00:00Z,5039975
Ifrano,1994-01-01T00:00:00Z,11209
Ifrano,2004-01-01T00:00:00Z,13074
Ifrano,2014-01-01T00:00:00Z,14659
Ifrano,2024-01-01T00:00:00Z,13964
San Antonio de Palé,2001-01-01T00:00:00Z,5008
Cacheu,2009-01-01T00:00:00Z,5674
Edéa,1976-04-09T00:00:00Z,25398
Edéa,1987-04-10T00:00:00Z,50609
Edéa,2005-11-11T00:00:00Z,66581
Edéa,2012-01-01T00:00:00Z,73128
Quthing,2004-01-01T00:00:00Z,15000
Ras el Ma,1994-01-01T00:00:00Z,10678
Ras el Ma,2004-01-01T00:00:00Z,9888
Ras el Ma,2014-01-01T00:00:00Z,7580
Ras el Ma,2024-01-01T00:00:00Z,7527
Bumba,2010-01-01T00:00:00Z,103328
Cacuaco,2019-01-01T00:00:00Z,1279488
Naivasha,1999-01-01T00:00:00Z,14563
Kisii,1999-01-01T00:00:00Z,37531
Kisii,2019-01-01T00:00:00Z,112417
Homa Bay,1999-01-01T00:00:00Z,32174
Sefrou,1994-01-01T00:00:00Z,54163
Sefrou,2004-01-01T00:00:00Z,64006
Sefrou,2014-01-01T00:00:00Z,79887
Sefrou,2024-01-01T00:00:00Z,86903
Gabela,2014-01-01T00:00:00Z,116903
Torit,2008-01-01T00:00:00Z,17957
Nuweiba,2006-11-01T00:00:00Z,2898
Gaoua,1985-01-01T00:00:00Z,10657
Gaoua,1996-01-01T00:00:00Z,16424
Gaoua,2006-01-01T00:00:00Z,25104
Gaoua,2019-01-01T00:00:00Z,45189
Kolda,1988-01-01T00:00:00Z,34337
Kolda,2002-01-01T00:00:00Z,53921
Kolda,2007-01-01T00:00:00Z,62258
Chibuto,2009-01-01T00:00:00Z,58012
Mafeteng,2005-01-01T00:00:00Z,57059
Mokhotlong,2005-01-01T00:00:00Z,8809
Lobamba,2003-01-01T00:00:00Z,5800
Djanet,2008-01-01T00:00:00Z,14655
Lira,2014-01-01T00:00:00Z,99059
Lira,2020-01-01T00:00:00Z,116500
Gabu,1979-04-16T00:00:00Z,7803
Gabu,2009-03-01T00:00:00Z,43556
Marrakesh,2004-01-01T00:00:00Z,823124
Marrakesh,2014-01-01T00:00:00Z,928850
Marrakesh,2020-01-01T00:00:00Z,966987
Marrakesh,2024-01-01T00:00:00Z,1002697
Niangoloko,1985-01-01T00:00:00Z,7950
Niangoloko,1996-01-01T00:00:00Z,12824
Niangoloko,2006-01-01T00:00:00Z,22310
Niangoloko,2019-01-01T00:00:00Z,33500
Ruyigi,2008-01-01T00:00:00Z,7139
Yafran,2007-01-01T00:00:00Z,72662
Aného,2022-01-01T00:00:00Z,28238
Mendefera,2005-01-01T00:00:00Z,28492
Rufisque,1976-04-16T00:00:00Z,60403
Rufisque,1988-05-27T00:00:00Z,142340
Rufisque,2002-12-08T00:00:00Z,143281
Rufisque,2013-01-01T00:00:00Z,221066
Podor,1988-01-01T00:00:00Z,7469
Podor,2002-01-01T00:00:00Z,9472
Podor,2013-01-01T00:00:00Z,11608
Marondera,2002-01-01T00:00:00Z,52283
Mumias,2009-01-01T00:00:00Z,99987
Isiolo,2009-01-01T00:00:00Z,45989
Labé,2007-01-01T00:00:00Z,107695
Port Mathurin,2008-01-01T00:00:00Z,5929
Chivhu,2007-01-01T00:00:00Z,10263
Chavuma,2010-10-16T00:00:00Z,4652
Chokwe,2017-01-01T00:00:00Z,63695
Taibe,1970-12-31T00:00:00Z,11500
Taibe,1971-12-31T00:00:00Z,12000
Taibe,1972-05-20T00:00:00Z,11700
Taibe,1973-12-31T00:00:00Z,12700
Taibe,1974-12-31T00:00:00Z,13500
Taibe,1975-12-31T00:00:00Z,14000
Taibe,1976-12-31T00:00:00Z,14400
Taibe,1977-12-31T00:00:00Z,14900
Taibe,1978-12-31T00:00:00Z,15400
Taibe,1979-12-31T00:00:00Z,15900
Taibe,1980-12-31T00:00:00Z,16300
Taibe,1981-12-31T00:00:00Z,16800
Taibe,1982-12-31T00:00:00Z,17200
Taibe,1983-06-04T00:00:00Z,17200
Taibe,1984-12-31T00:00:00Z,18100
Taibe,1985-12-31T00:00:00Z,18600
Taibe,1986-12-31T00:00:00Z,19000
Taibe,1987-12-31T00:00:00Z,19500
Taibe,1988-12-31T00:00:00Z,20000
Taibe,1989-12-31T00:00:00Z,20600
Taibe,1990-12-31T00:00:00Z,21200
Taibe,1991-12-31T00:00:00Z,21800
Taibe,1992-12-31T00:00:00Z,22300
Taibe,1993-12-31T00:00:00Z,23000
Taibe,1994-12-31T00:00:00Z,23800
Taibe,1995-12-31T00:00:00Z,24443
Taibe,1996-12-31T00:00:00Z,25268
Taibe,1997-12-31T00:00:00Z,26056
Taibe,1998-12-31T00:00:00Z,26957
Taibe,1999-12-31T00:00:00Z,27800
Taibe,2000-12-31T00:00:00Z,28680
Taibe,2001-12-31T00:00:00Z,29595
Taibe,2002-12-31T00:00:00Z,30400
Taibe,2003-12-31T00:00:00Z,31200
Taibe,2004-12-31T00:00:00Z,32100
Taibe,2005-12-31T00:00:00Z,33000
Taibe,2006-12-31T00:00:00Z,33900
Taibe,2007-12-31T00:00:00Z,34800
Taibe,2008-12-27T00:00:00Z,35700
